morris$input,morris$mu,morris$mustar,morris$output,morris$sigma
taux,8210426.0,8210426.0,impact,2738152.1564869266
pluPriority,-27235.500000000036,540462.5,impact,897666.0672807287
buildNonRes,-161731.0,355669.0,impact,692119.7250071695
densifyGround,-755449.9999999998,1269038.9999999995,impact,2546843.733560227
maxBuiltRatio,50728.000000000044,267922.0000000001,impact,563509.2048369752
densifyOld,-201659.5,353540.5,impact,905174.1369025355
maximumDensity,75548.49999999991,553223.4999999999,impact,848779.2010294843
winSize,60077.0,297277.0,impact,701203.7684161429
minContig,-84474.99999999997,430943.0,impact,607109.6855964334
maxContig,-4253.500000000035,724304.5,impact,985074.5985991366
