"","CODE_IRIS","NB_NIV","n","poidsFitAIC","poidsFitCHI2"
"1",340570104,1,485,0.629614341894865,0.240218572646264
"2",340570104,2,359,0.271847338614151,0.143867167122024
"3",340570104,3,25,0.0782499916686429,0.0861622044778157
"4",340570104,4,6,0.0168929220367507,0.0516026389411015
"5",340570104,5,0,0.00291752940905774,0.0309048771653851
"6",340570104,6,1,0.000419898633394061,0.0185089648941731
"7",340570107,1,587,0.645210716444208,0.241079438082443
"8",340570107,2,442,0.264716559157793,0.143309364928028
"9",340570107,3,21,0.0724051382557396,0.0851900694618814
"10",340570107,4,2,0.0148531623668879,0.0506411282930808
"11",340570103,1,487,0.535591929928767,0.234012754955473
"12",340570103,2,524,0.305651967920042,0.146595108867021
"13",340570103,3,68,0.116286449033216,0.0918331393851714
"14",340570103,4,15,0.0331812150289151,0.0575280140962023
"15",340570103,5,4,0.00757435137076458,0.0360378881524684
"16",340570103,6,1,0.00144084533567684,0.0225755990866988
"17",340570103,7,2,0.000234932171148932,0.0141422735973625
"18",340570103,8,0,3.35178129219336e-05,0.00885929546031388
"19",340570103,9,1,4.25065963157907e-06,0.00554982305446104
"20",340570105,1,639,0.688316539935521,0.243228452055931
"21",340570105,2,287,0.242867178686959,0.141629353240823
"22",340570105,3,30,0.0571292063666801,0.0824692733512991
"23",340570105,4,10,0.0100787997715415,0.0480209849968511
"24",340570105,5,1,0.00142249068447162,0.0279621112974372
"25",340570101,1,296,0.683357796690929,0.241154458210976
"26",340570101,2,133,0.216379918392648,0.143257984475652
"27",340570101,3,24,0.068515014111685,0.0851025117606232
"28",340570101,4,10,0.021694745028076,0.0505552101300009
"29",340570101,5,1,0.00686947186591851,0.0300323600139746
"30",340570106,1,131,0.660089926627638,0.241859347617164
"31",340570106,2,79,0.257526593225226,0.14275156983419
"32",340570106,3,7,0.0669807183767779,0.0842556258043897
"33",340570106,4,1,0.013065883540653,0.0497298242529666
"34",341160101,1,470,0.556878672835794,0.235577109105327
"35",341160101,2,486,0.299422795668145,0.146080267767905
"36",341160101,3,71,0.1073291962732,0.0905836934334821
"37",341160101,4,9,0.0288544072277775,0.0561705262553868
"38",341160102,1,450,0.553707447532248,0.235350202548567
"39",341160102,2,454,0.300405179808919,0.146161030208459
"40",341160102,3,61,0.108653372171199,0.0907713123688079
"41",341160102,4,11,0.0294740805360339,0.0563722843045397
"42",341160102,5,3,0.00639627767521705,0.0350092375529416
"43",341160102,6,1,0.00115673294847604,0.0217420090237427
"44",341230102,1,577,0.532068815806344,0.233744260350613
"45",341230102,2,701,0.306599470481971,0.14667405555643
"46",341230102,3,107,0.117783304849849,0.092037676309575
"47",341230102,4,10,0.0339357408532319,0.0577534576809126
"48",341230102,5,3,0.00782205599495328,0.0362401791075419
"49",341230101,1,769,0.688495842744097,0.243236729025603
"50",341230101,2,410,0.242769845762206,0.141621936273448
"51",341230101,3,26,0.0570685585904706,0.0824578299263732
"52",341230101,4,2,0.0100614443158152,0.0480101733889474
"53",341230101,5,2,0.00141910241604951,0.027953400555107
"54",340570102,1,215,0.577940821046166,0.232114366440737
"55",340570102,2,131,0.24392522841465,0.147099504238173
"56",340570102,3,14,0.102950881630814,0.0932224251299879
"57",340570102,4,14,0.0434513645736745,0.0590785168999979
"58",340570102,5,15,0.0183390472563888,0.0374402527528817
"59",340570102,6,2,0.00774016322782703,0.0237272802323803
"60",340570102,7,0,0.00326680693690534,0.0150368596852641
"61",340570102,8,1,0.00137878585359096,0.0095294170667633
"62",340570102,9,0,0.000581929225319761,0.00603914590765996
"63",340570102,10,1,0.000245608571047699,0.00382723130265865
"64",343270101,1,440,0.592431650946881,0.237977863144655
"65",343270101,2,483,0.287134359029806,0.145082134651838
"66",343270101,3,23,0.092777104896049,0.0884486713049416
"67",343270101,4,1,0.0224831797089085,0.0539223349200322
"68",343270103,1,70,0.637622963733357,0.24066647596213
"69",343270103,2,43,0.26823798585331,0.143584066004162
"70",343270103,3,4,0.0752290106087722,0.0856637133521314
"71",343270103,4,2,0.0158238327594746,0.0511078421825959
"72",343270102,1,657,0.708240002554672,0.244110635908807
"73",343270102,2,307,0.231731142268272,0.140788903337169
"74",343270102,3,26,0.0505471987869092,0.0811989007733664
"75",340880102,1,721,0.670232504214735,0.24236766918704
"76",340880102,2,403,0.252411607800804,0.142357852661432
"77",340880102,3,43,0.0633726548642334,0.0836157655942736
"78",340880102,4,2,0.0119331676726333,0.0491128246542503
