CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
341290103,253547,13,2,1,2,1,23,1.76923076923077,2,0.421325044234743,1,2,2,2,0
341690000,264224,3,2,2,3,1,7,2.33333333333333,2,0.471404520791032,3,2,2,2.5,0.5
341720102,252702,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
340950101,157095,6,1,1,1,0,6,1,1,0,1,1,1,1,0
343070000,407131,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341722101,292402,5,2,1,2,1,7,1.4,1,0.489897948556636,2,1,1,2,1
341720108,215762,3,2,2,3,1,7,2.33333333333333,2,0.471404520791032,3,2,2,2.5,0.5
341720706,220570,2,2,1,5,4,6,3,3,2,1,1,1,5,4
341340000,187131,5,2,1,2,1,6,1.2,1,0.4,2,1,1,1,0
342950000,132457,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721602,279458,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
342590101,151502,7,2,1,2,1,12,1.71428571428571,2,0.451753951452626,1,2,1.5,2,0.5
341290103,256954,4,1,1,1,0,4,1,1,0,1,1,1,1,0
341720102,254748,2,2,3,5,2,8,4,4,1,3,3,3,5,2
342020102,133765,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
343270102,378511,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
341160101,186992,6,2,1,2,1,7,1.16666666666667,1,0.372677996249965,2,1,1,1,0
341720203,273918,1,1,5,5,0,5,5,5,0,5,5,5,5,0
341720202,274585,3,1,2,2,0,6,2,2,0,2,2,2,2,0
341722202,274626,8,2,2,3,1,17,2.125,2,0.330718913883074,3,2,2,2,0
341720203,267748,6,2,1,2,1,7,1.16666666666667,1,0.372677996249965,2,1,1,1,0
341690000,234824,2,1,2,2,0,4,2,2,0,2,2,2,2,0
340570107,289600,1,1,2,2,0,2,2,2,0,2,2,2,2,0
342700101,191939,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340900103,322396,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341290107,245353,1,1,1,1,0,1,1,1,0,1,1,1,1,0
342020102,141270,1,1,1,1,0,1,1,1,0,1,1,1,1,0
340900104,329982,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341722301,245197,2,2,1,5,4,6,3,3,2,1,1,1,5,4
340880102,81172,4,1,1,1,0,4,1,1,0,1,1,1,1,0
341720203,271172,8,2,2,3,1,17,2.125,2,0.330718913883074,3,2,2,2,0
340880101,74311,2,1,1,1,0,2,1,1,0,1,1,1,1,0
343270102,368923,2,1,1,1,0,2,1,1,0,1,1,1,1,0
342440000,438699,7,3,1,3,2,13,1.85714285714286,2,0.63887656499994,3,2,1.5,2,0.5
341720108,216443,4,3,2,7,5,14,3.5,2.5,2.06155281280883,3,2,2,5,3
342020103,137189,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340220102,415443,6,2,1,2,1,10,1.66666666666667,2,0.471404520791032,1,2,1,2,1
340580103,372991,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341200102,305976,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341722501,254112,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341721701,266477,3,3,2,4,2,9,3,3,0.816496580927726,2,2,2.5,3.5,1
341980104,330127,2,1,2,2,0,4,2,2,0,2,2,2,2,0
340880102,84584,3,1,2,2,0,6,2,2,0,2,2,2,2,0
341690000,247858,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341721202,253466,2,2,2,4,2,6,3,3,1,2,2,2,4,2
340570104,299215,6,3,1,3,2,12,2,2,0.577350269189626,1,2,2,2,0
340570101,295818,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
341230101,197338,2,1,1,1,0,2,1,1,0,1,1,1,1,0
340900102,329278,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
341720401,195250,1,1,5,5,0,5,5,5,0,5,5,5,5,0
340870000,56571,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
342440000,433903,5,2,1,2,1,9,1.8,2,0.4,1,2,2,2,0
340880102,89363,6,2,1,2,1,11,1.83333333333333,2,0.372677996249965,1,2,2,2,0
340270000,433089,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341160102,219138,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341690000,244401,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
340900104,332713,4,1,1,1,0,4,1,1,0,1,1,1,1,0
341160102,214354,3,2,3,4,1,11,3.66666666666667,4,0.471404520791032,3,4,3.5,4,0.5
340950102,115402,7,1,1,1,0,7,1,1,0,1,1,1,1,0
341980104,340398,3,2,2,4,2,10,3.33333333333333,4,0.942809041582063,2,4,3,4,1
341722802,245924,1,1,3,3,0,3,3,3,0,3,3,3,3,0
342170102,259423,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341721903,293791,4,1,3,3,0,12,3,3,0,3,3,3,3,0
340900103,326554,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341690000,245777,3,2,2,3,1,7,2.33333333333333,2,0.471404520791032,3,2,2,2.5,0.5
341720803,239746,8,2,1,2,1,9,1.125,1,0.330718913883074,2,1,1,1,0
340950102,144796,18,2,2,3,1,44,2.44444444444444,2,0.496903994999953,3,2,2,3,1
340950103,92892,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721303,251447,1,1,3,3,0,3,3,3,0,3,3,3,3,0
341200101,319679,5,1,1,1,0,5,1,1,0,1,1,1,1,0
341230101,182284,2,1,1,1,0,2,1,1,0,1,1,1,1,0
342700103,204950,2,1,1,1,0,2,1,1,0,1,1,1,1,0
340900101,335424,5,2,1,2,1,7,1.4,1,0.489897948556636,2,1,1,2,1
342170102,263522,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721904,303371,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341690000,236218,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720902,219256,2,1,2,2,0,4,2,2,0,2,2,2,2,0
343270101,378521,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
341720701,213753,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
340570101,301283,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341720401,206890,1,1,7,7,0,7,7,7,0,7,7,7,7,0
340570103,285534,7,2,1,2,1,12,1.71428571428571,2,0.451753951452626,1,2,1.5,2,0.5
340580101,386677,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340950103,118815,3,1,3,3,0,9,3,3,0,3,3,3,3,0
342700103,202226,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
340570104,295111,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
342560000,441362,8,2,2,3,1,17,2.125,2,0.330718913883074,3,2,2,2,0
340770102,276592,4,1,2,2,0,8,2,2,0,2,2,2,2,0
