CODE_IRIS,NB_NIV,effectif,poidsNormalise_a_l_IRIS
340220101,1,434,0.5486725663716814
340220101,2,341,0.4310998735777497
340220101,3,15,0.018963337547408345
340220101,5,1,0.0012642225031605564
340220102,1,324,0.38434163701067614
340220102,2,443,0.5255041518386714
340220102,3,75,0.08896797153024912
340220102,4,1,0.0011862396204033216
340220103,1,514,0.7099447513812155
340220103,2,195,0.26933701657458564
340220103,3,13,0.017955801104972375
340220103,4,2,0.0027624309392265192
340270000,1,341,0.5036927621861153
340270000,2,285,0.42097488921713444
340270000,3,49,0.0723781388478582
340270000,4,2,0.0029542097488921715
340570101,1,296,0.6379310344827587
340570101,2,133,0.28663793103448276
340570101,3,24,0.05172413793103448
340570101,4,10,0.021551724137931036
340570101,5,1,0.0021551724137931034
340570102,1,215,0.5470737913486005
340570102,2,131,0.3333333333333333
340570102,3,14,0.035623409669211195
340570102,4,14,0.035623409669211195
340570102,5,15,0.03816793893129771
340570102,6,2,0.005089058524173028
340570102,8,1,0.002544529262086514
340570102,10,1,0.002544529262086514
340570103,1,487,0.4419237749546279
340570103,2,524,0.47549909255898365
340570103,3,68,0.06170598911070781
340570103,4,15,0.013611615245009074
340570103,5,4,0.003629764065335753
340570103,6,1,9.074410163339383e-4
340570103,7,2,0.0018148820326678765
340570103,9,1,9.074410163339383e-4
340570104,1,485,0.5536529680365296
340570104,2,359,0.4098173515981735
340570104,3,25,0.028538812785388126
340570104,4,6,0.00684931506849315
340570104,6,1,0.001141552511415525
340570105,1,639,0.6608066184074457
340570105,2,287,0.296794208893485
340570105,3,30,0.031023784901758014
340570105,4,10,0.010341261633919338
340570105,5,1,0.001034126163391934
340570106,1,131,0.6009174311926605
340570106,2,79,0.3623853211009174
340570106,3,7,0.03211009174311927
340570106,4,1,0.0045871559633027525
340570107,1,587,0.5579847908745247
340570107,2,442,0.42015209125475284
340570107,3,21,0.019961977186311788
340570107,4,2,0.0019011406844106464
340580101,1,718,0.6211072664359861
340580101,2,352,0.3044982698961938
340580101,3,75,0.06487889273356401
340580101,4,9,0.007785467128027681
340580101,5,2,0.0017301038062283738
340580102,1,742,0.7633744855967078
340580102,2,216,0.2222222222222222
340580102,3,13,0.013374485596707819
340580102,5,1,0.00102880658436214
340580103,1,90,0.5454545454545454
340580103,2,59,0.3575757575757576
340580103,3,15,0.09090909090909091
340580103,4,1,0.006060606060606061
340770101,1,252,0.32390745501285345
340770101,2,420,0.5398457583547558
340770101,3,90,0.11568123393316196
340770101,4,12,0.015424164524421594
340770101,5,1,0.0012853470437017994
340770101,6,3,0.0038560411311053984
340770102,1,538,0.5004651162790698
340770102,2,496,0.4613953488372093
340770102,3,39,0.03627906976744186
340770102,4,2,0.0018604651162790699
340870000,1,376,0.3920750782064651
340870000,2,439,0.45776850886339937
340870000,3,98,0.10218978102189781
340870000,4,28,0.029197080291970802
340870000,5,16,0.016684045881126174
340870000,6,2,0.0020855057351407717
340880101,1,539,0.5070555032925682
340880101,2,435,0.40921919096895576
340880101,3,77,0.07243650047036689
340880101,4,10,0.00940733772342427
340880101,5,1,9.407337723424271e-4
340880101,7,1,9.407337723424271e-4
340880102,1,721,0.6167664670658682
340880102,2,403,0.34473909324208724
340880102,3,43,0.036783575705731396
340880102,4,2,0.001710863986313088
340900101,1,258,0.3189122373300371
340900101,2,492,0.6081582200247219
340900101,3,59,0.07292954264524104
340900102,1,442,0.4830601092896175
340900102,2,440,0.4808743169398907
340900102,3,33,0.036065573770491806
340900103,1,385,0.4078389830508475
340900103,2,504,0.5338983050847458
340900103,3,48,0.05084745762711865
340900103,4,5,0.005296610169491525
340900103,5,2,0.00211864406779661
340900104,1,59,0.44696969696969696
340900104,2,69,0.5227272727272727
340900104,3,3,0.022727272727272728
340900104,4,1,0.007575757575757576
340950101,1,708,0.7670639219934995
340950101,2,207,0.22426868905742145
340950101,3,8,0.00866738894907909
340950102,1,465,0.39306846999154693
340950102,2,515,0.4353338968723584
340950102,3,169,0.14285714285714285
340950102,4,34,0.028740490278951817
340950103,1,216,0.4145873320537428
340950103,2,245,0.47024952015355087
340950103,3,58,0.11132437619961612
340950103,4,2,0.003838771593090211
341160101,1,470,0.45366795366795365
341160101,2,486,0.4691119691119691
341160101,3,71,0.06853281853281853
341160101,4,9,0.008687258687258687
341160102,1,450,0.45918367346938777
341160102,2,454,0.463265306122449
341160102,3,61,0.06224489795918367
341160102,4,11,0.011224489795918367
341160102,5,3,0.003061224489795918
341160102,6,1,0.0010204081632653062
341200101,1,535,0.5323383084577115
341200101,2,414,0.41194029850746267
341200101,3,52,0.051741293532338306
341200101,4,4,0.003980099502487562
341200102,1,314,0.38813349814585907
341200102,2,393,0.4857849196538937
341200102,3,82,0.10135970333745364
341200102,4,15,0.018541409147095178
341200102,5,5,0.006180469715698393
341230101,1,769,0.6360628618693135
341230101,2,410,0.3391232423490488
341230101,3,26,0.021505376344086023
341230101,4,2,0.0016542597187758478
341230101,5,2,0.0016542597187758478
341230102,1,577,0.4127324749642346
341230102,2,701,0.5014306151645207
341230102,3,107,0.0765379113018598
341230102,4,10,0.00715307582260372
341230102,5,3,0.002145922746781116
341290101,1,895,0.6215277777777778
341290101,2,502,0.3486111111111111
341290101,3,32,0.022222222222222223
341290101,4,11,0.007638888888888889
341290102,1,481,0.7598736176935229
341290102,2,137,0.21642969984202212
341290102,3,14,0.022116903633491312
341290102,5,1,0.001579778830963665
341290103,1,704,0.686829268292683
341290103,2,281,0.27414634146341466
341290103,3,39,0.03804878048780488
341290103,4,1,9.75609756097561e-4
341290104,1,413,0.7634011090573013
341290104,2,122,0.2255083179297597
341290104,3,4,0.0073937153419593345
341290104,5,2,0.0036968576709796672
341290105,1,126,0.6737967914438503
341290105,2,58,0.31016042780748665
341290105,3,1,0.0053475935828877
341290105,4,2,0.0106951871657754
341290107,1,155,0.5115511551155115
341290107,2,109,0.35973597359735976
341290107,3,37,0.12211221122112212
341290107,4,1,0.0033003300330033004
341290107,5,1,0.0033003300330033004
341290108,1,141,0.49473684210526314
341290108,2,92,0.32280701754385965
341290108,3,31,0.10877192982456141
341290108,4,15,0.05263157894736842
341290108,5,4,0.014035087719298246
341290108,7,1,0.0035087719298245615
341290108,8,1,0.0035087719298245615
341290109,1,368,0.6594982078853047
341290109,2,141,0.25268817204301075
341290109,3,27,0.04838709677419355
341290109,4,15,0.026881720430107527
341290109,5,3,0.005376344086021506
341290109,6,2,0.0035842293906810036
341290109,7,2,0.0035842293906810036
341340000,1,605,0.6154628687690743
341340000,2,337,0.34282807731434384
341340000,3,39,0.03967446592065107
341340000,4,2,0.002034587995930824
341640000,1,240,0.5491990846681922
341640000,2,172,0.39359267734553777
341640000,3,24,0.05491990846681922
341640000,4,1,0.002288329519450801
341690000,1,473,0.3087467362924282
341690000,2,827,0.5398172323759791
341690000,3,209,0.13642297650130547
341690000,4,19,0.012402088772845953
341690000,5,3,0.0019582245430809398
341690000,6,1,6.527415143603133e-4
341720101,1,164,0.332657200811359
341720101,2,239,0.4847870182555781
341720101,3,60,0.12170385395537525
341720101,4,10,0.02028397565922921
341720101,5,15,0.030425963488843813
341720101,6,5,0.010141987829614604
341720102,1,111,0.31896551724137934
341720102,2,90,0.25862068965517243
341720102,3,104,0.2988505747126437
341720102,4,25,0.07183908045977011
341720102,5,10,0.028735632183908046
341720102,6,6,0.017241379310344827
341720102,7,2,0.005747126436781609
341720103,1,98,0.3967611336032389
341720103,2,84,0.340080971659919
341720103,3,26,0.10526315789473684
341720103,4,21,0.08502024291497975
341720103,5,15,0.06072874493927125
341720103,6,1,0.004048582995951417
341720103,8,2,0.008097165991902834
341720105,1,61,0.2026578073089701
341720105,2,149,0.4950166112956811
341720105,3,53,0.1760797342192691
341720105,4,19,0.06312292358803986
341720105,5,14,0.046511627906976744
341720105,6,4,0.013289036544850499
341720105,7,1,0.0033222591362126247
341720106,1,47,0.19831223628691982
341720106,2,69,0.2911392405063291
341720106,3,57,0.24050632911392406
341720106,4,50,0.2109704641350211
341720106,5,9,0.0379746835443038
341720106,6,2,0.008438818565400843
341720106,7,3,0.012658227848101266
341720108,1,29,0.11740890688259109
341720108,2,115,0.46558704453441296
341720108,3,47,0.1902834008097166
341720108,4,35,0.1417004048582996
341720108,5,16,0.06477732793522267
341720108,6,4,0.016194331983805668
341720108,7,1,0.004048582995951417
341720109,1,199,0.402834008097166
341720109,2,154,0.3117408906882591
341720109,3,53,0.10728744939271255
341720109,4,56,0.11336032388663968
