"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"1",10,0.00878353262863232,0.00878353262863232,0.00907331406210296,0.00907331406210296,"340570104"
"2",30,0.007230559513235,0.007230559513235,0.00742405110438205,0.00742405110438205,"340570104"
"3",50,0.00595215992071447,0.00595215992071447,0.00607457588519775,0.00607457588519775,"340570104"
"4",70,0.0048997878596962,0.0048997878596962,0.00497039576724432,0.00497039576724432,"340570104"
"5",90,0.00403348051628701,0.00403348051628701,0.00406692327990171,0.00406692327990171,"340570104"
"6",110,0.00332034070476587,0.00332034070476587,0.00332767564981581,0.00332767564981581,"340570104"
"7",130,0.00273328762868893,0.00273328762868893,0.00272280160412681,0.00272280160412681,"340570104"
"8",150,0.00225002851376686,0.00225002851376686,0.00222787595775625,0.00222787595775625,"340570104"
"9",170,0.00185221206126494,0.00185221206126494,0.0018229133094477,0.0018229133094477,"340570104"
"10",190,0.00152473157513541,0.00152473157513541,0.00149156101900227,0.00149156101900227,"340570104"
"11",210,0.00125515129980701,0.00125515129980701,0.00122043887763437,0.00122043887763437,"340570104"
"12",230,0.00103323418436279,0.00103323418436279,0.000998598806931653,0.000998598806931653,"340570104"
"13",250,0.000850553140406247,0.000850553140406247,0.00081708276873172,0.00081708276873172,"340570104"
"14",270,0.000700171031508299,0.000700171031508299,0.000668561034044964,0.000668561034044964,"340570104"
"15",290,0.00057637724214297,0.00057637724214297,0.000547036204100922,0.000547036204100922,"340570104"
"16",310,0.000474470822571297,0.000474470822571297,0.000447601031706283,0.000447601031706283,"340570104"
"17",330,0.00039058197480955,0.00039058197480955,0.00036624026359244,0.00036624026359244,"340570104"
"18",350,0.000321525100783629,0.000321525100783629,0.000299668502024985,0.000299668502024985,"340570104"
"19",370,0.00026467783231505,0.00026467783231505,0.000245197538427482,0.000245197538427482,"340570104"
"20",390,0.000217881449218911,0.000217881449218911,0.000200627801869827,0.000200627801869827,"340570104"
"21",410,0.000179358903987191,0.000179358903987191,0.000164159539044569,0.000164159539044569,"340570104"
"22",430,0.000147647340123779,0.000147647340123779,0.00013432013912414,0.00013432013912414,"340570104"
"23",450,0.000121542541580114,0.000121542541580114,0.000109904668832129,0.000109904668832129,"340570104"
"24",470,0.000100053203812336,0.000100053203812336,8.99272164983115e-05,8.99272164983115e-05,"340570104"
"25",490,8.23632899474496e-05,8.23632899474496e-05,7.35810803405118e-05,7.35810803405118e-05,"340570104"
